"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"天神グラウンド","目良 天神崎","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",24,135.358329,33.7335161,"","","",0,0,0,0,"田辺市天神崎27-26","",""
"オーシティー田辺付近","湊 東陽  東山","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",27,135.388725,33.7292295,"","","",0,0,0,0,"田辺市東山１丁目5-1","",""
"ファミールヴィラ紀伊田辺付近","湊 東陽  東山","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",22,135.386391,33.7290553,"","","",0,0,0,0,"田辺市東陽14-0","",""
"創価学会田辺文化会館","文里","","田辺市","避難場所","津波　","津波浸水予測地域","","☆","","","","","",5,135.390213,33.7179812,"","","",0,0,0,0,"田辺市文里１丁目23-36","",""
"牟婁保育所","江川","","田辺市","避難場所","津波　","津波浸水予測地域","","☆","耐震　","有","○","","毛布など",10,135.370422,33.7311586,"","","",0,250,250,0,"田辺市江川16-1","標高は屋上",""
"橋谷避難広場","新庄町","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",20,135.40167,33.7237536,"","","",0,2500,1000,0,"田辺市新庄町411-3","",""
"文里地区津波避難タワー","文里","","田辺市","避難場所","津波　","津波浸水予測地域","","☆","","有","○","","毛布など",10,135.390861,33.7164636,"","","",0,45,100,0,"田辺市文里１丁目17-736","標高は避難ステージ",""
"大塔武道館","鮎川","","田辺市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","","","","",0,135.486417,33.7276339,"","","",0,0,109,109,"田辺市鮎川2588-2","",""
"大塔健康プラザ","鮎川","","田辺市","避難所を兼ねる避難場所","大規模な火事","","☆☆☆","","","","","","",0,135.490835,33.7291473,"","","",0,0,30,30,"田辺市鮎川2558-2","",""
"三里小学校","本宮町大居","","田辺市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆","","","","","","",0,135.763932,33.8615868,"","","",0,0,116,116,"田辺市本宮町　大居1653-0","",""
"請川地区地域防災拠点施設","請川地区","","田辺市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆（注）","","耐震　","","","","",0,135.792417,33.8218409,"","","",0,0,22,22,"田辺市本宮町　請川480-5","",""
"新庄公民館","新庄町","","田辺市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　大規模な火事","","☆☆☆","","","","","","",0,135.405217,33.7176419,"","","",0,0,65,65,"田辺市新庄町2031-3","",""
"三里地区地域防災拠点施設","大居","","田辺市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","","","","","",0,135.7732341,33.85556526,"","","",0,0,21,21,"田辺市本宮町　大居2055-3","",""
"田辺スポーツパーク　体育館","上の山","","田辺市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　津波　大規模な火事","","☆☆☆","☆☆☆","","","","","",0,135.3664994,33.7377092,"","","",0,0,800,800,"田辺市上の山１丁目23-1","",""
"廣井原農林漁家婦人活動促進施設（広栄会館）","廣井原","","田辺市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","","","","",353,135.519016,33.9221163,"","","",56,0,0,17,"田辺市龍神村　広井原33-3","",""
"蕨尾集会所","鮎川","","田辺市","避難所を兼ねる避難場所","洪水　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆☆","","耐震　","","","","",227,135.507303,33.7462592,"","","",19,0,6,0,"田辺市鮎川1207-0","",""
"和田集会所","和田","","田辺市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆（注）","","耐震　","","","","",307,135.6106638,33.7761038,"○","","○",148,0,0,45,"田辺市和田253-2","",""
"和歌山県立情報交流センター（Big-U）","新庄町 神島台 たきない町","","田辺市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","","☆（注）","☆☆☆","耐震　","有","○","","毛布",50,135.3958386,33.6959363,"","","",993,0,301,301,"田辺市新庄町3353-9","",""
"林業者等健康増進センター","安井","","田辺市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","","","","",303,135.475018,33.8859248,"","","",1228,0,372,372,"田辺市龍神村　安井822-0","",""
"緑の学習館","熊野","","田辺市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","土砂災害予測地域　","☆（注）","","耐震　","","","","発電機など",316,135.6149007,33.7127016,"○","","○",128,0,0,39,"田辺市熊野394-0","",""
"龍神中学校","安井","","田辺市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","有","○","","",339,135.4773527,33.8921021,"","","",1244,0,377,377,"田辺市龍神村　安井0-1","",""
"龍神高齢者福祉センター","柳瀬","","田辺市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　地震　大規模な火事","","☆☆☆","","耐震　","","","","",305,135.47015,33.8800514,"","","",620,0,188,0,"田辺市龍神村　柳瀬0-0","",""
"龍神高齢者生きがい研修館","小又川","","田辺市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","","","","",435,135.5712249,33.9487621,"","","",105,0,0,32,"田辺市龍神村　小又川0-6","",""
"龍神会館","龍神","","田辺市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆（注）","","耐震　","","","","",426,135.5632083,33.9589057,"","","",66,0,0,20,"田辺市龍神村　龍神0-0","",""
"龍神ドーム","柳瀬","","田辺市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆（注）","","耐震　","","","","",374,135.4710187,33.8841552,"","","",2118,0,642,642,"田辺市龍神村　柳瀬0-1","",""
"木守集会所","木守","","田辺市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆（注）","","","有","○","","発電機など",404,135.6377845,33.702361,"○","","○",39,0,0,12,"田辺市木守495-0","",""
