"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"井田児童会館周辺","大野","","海南市","避難場所","津波　","","","☆☆☆","","","","","",23.1,135.223645,34.155044,"","","",0,0,0,0,"海南市大野中1056-6","","",""
"春日神社周辺","大野","","海南市","避難場所","津波　","","","☆☆☆","","","","","",36.7,135.226792,34.156354,"","","",0,0,0,0,"海南市大野中340-0","","",""
"寶性院周辺","内海","","海南市","避難場所","津波　","","","☆☆☆","","","","","",25,135.21871,34.146634,"","","",0,0,0,0,"海南市鳥居420-3","","",""
"わんぱく公園周辺","大野","","海南市","避難場所","津波　","","","☆☆☆","","","","","",19.8,135.232778,34.158003,"","","",0,0,0,0,"海南市大野中995-2","","",""
"上神田地区高台周辺","日方","","海南市","避難場所","津波　","","","☆☆☆","","","","","",24,135.219968,34.160194,"","","",0,0,0,0,"海南市日方1397-0","","",""
"神田地蔵寺","日方","","海南市","避難場所","津波　","","","☆☆☆","","","","","",10,135.218045,34.160209,"","","",0,0,0,0,"海南市日方828-0","","",""
"井田地蔵寺","日方 大野","","海南市","避難場所","津波　","","","☆☆☆","","","","","",9.8,135.222138,34.157117,"","","",0,0,0,0,"海南市井田102-0","","",""
"室山配水池周辺","黒江 船尾 亀川","","海南市","避難場所","津波　","","","☆☆☆","","","","","",55.8,135.2076585,34.16553933,"","","",0,0,0,0,"海南市黒江265-0","","",""
"室山古墳登山道周辺","黒江 船尾","","海南市","避難場所","津波　","","","☆☆☆","","","","","",14,135.206388,34.172455,"","","",0,0,0,0,"海南市黒江47-0","","",""
"智辯学園","黒江 亀川","","海南市","避難場所","津波　","","","☆☆☆","","","","","",39,135.211585,34.1735648,"","","",0,0,0,9858,"和歌山市冬野2066-1","","",""
"海南医療センター（屋上）","日方 内海","津波時は屋上","海南市","避難場所","津波　","津波浸水予測地域","","☆","耐震　","","","","",23.8,135.2106167,34.1539723,"○","","○",0,0,0,650,"海南市日方1522-1","「標高」は津波時の避難場所標高を示す。","",""
"海南合同宿舎２号棟（5階以上）","日方","津波時は５階以上","海南市","避難場所","津波　","津波浸水予測地域","","☆","耐震　","","","","",11.7,135.205862,34.156041,"","","",0,0,0,700,"海南市日方1274-3","「標高」は津波時の避難場所標高を示す。","",""
"海南合同宿舎１号棟（5階以上）","日方","津波時は５階以上","海南市","避難場所","津波　","津波浸水予測地域","","☆","耐震　","","","","",11.7,135.205889,34.155697,"","","",0,0,0,600,"海南市日方1274-3","「標高」は津波時の避難場所標高を示す。","",""
"マンションニューハマ（屋上）","日方","津波時は屋上","海南市","避難場所","津波　","津波浸水予測地域","","☆","耐震　","","","","",17.5,135.208432,34.153917,"","","",0,0,0,100,"海南市日方1289-27","「標高」は津波時の避難場所標高を示す。","",""
"クレンツ海南（屋上）","日方","津波時は屋上","海南市","避難場所","津波　","津波浸水予測地域","","☆","耐震　","","","","",18.3,135.209113,34.155899,"","","",0,0,0,400,"海南市日方1271-99","「標高」は津波時の避難場所標高を示す。","",""
"国道42号冷水バス停周辺","冷水","","海南市","避難場所","津波　","土砂災害予測地域　","","☆☆☆","","","","","",24.6,135.189353,34.141253,"","","",0,0,0,0,"海南市冷水598-0","","",""
"国道42号冷水中バス停周辺","冷水","","海南市","避難場所","津波　","土砂災害予測地域　","","☆☆☆","","","","","",22.6,135.19164,34.141235,"","","",0,0,0,0,"海南市冷水379-0","","",""
"国道42号冷水駅前バス停周辺","冷水","","海南市","避難場所","津波　","土砂災害予測地域　浸水予測地域　","","☆☆☆","","","","","",21,135.193434,34.141202,"","","",0,0,0,0,"海南市冷水308-0","","",""
"拝待団地周辺","下津","","海南市","避難場所","津波　","","","☆☆☆","","","","","",14,135.1512667,34.10695833,"","","",0,0,0,0,"海南市下津町　小原1495-0","","",""
"元火葬場周辺","日方","","海南市","避難場所","津波　","","","☆☆☆","","有","○","○","アルファ米、飲料水、毛布、保温シート等",15,135.2178083,34.16183611,"","","",0,0,0,0,"海南市日方788-0","","",""
"船尾山ハイキングコース周辺","黒江 船尾","","海南市","避難場所","津波　","","","☆☆☆","","","","","",10,135.195958,34.16189,"","","",0,0,0,0,"海南市船尾342-7","","",""
"西方寺周辺","下津","","海南市","避難場所","津波　","","","☆☆☆","","","","","",10,135.135269,34.108699,"","","",0,0,0,0,"海南市下津町　下津2464-0","","",""
"阿弥陀寺上の道路","下津","","海南市","避難場所","津波　","","","☆☆☆","","","","","",15,135.142542,34.107084,"","","",0,0,0,0,"海南市下津町　下津1331-0","","",""
"紀文レストラン駐車場","下津","","海南市","避難場所","津波　","","","☆☆☆","","","","","",12.2,135.145816,34.108474,"","","",0,0,0,0,"海南市下津町　下津705-0","","",""
"禅定寺","大崎","","海南市","避難場所","津波　","","","☆☆☆","","","","","",9.8,135.147318,34.120461,"","","",0,0,0,0,"海南市下津町　方1157-0","","",""
"横山農道周辺","大崎","","海南市","避難場所","津波　","","","☆☆☆","","","","","",20,135.143624,34.127453,"","","",0,0,0,0,"海南市下津町　方1665-4","","",""
"女良古墳周辺","大崎","","海南市","避難場所","津波　","","","☆☆☆","","","","","",18,135.146272,34.130846,"","","",0,0,0,0,"海南市下津町　大崎1373-2","","",""
"教徳寺周辺","塩津","","海南市","避難場所","津波　","","","☆☆☆","","","","","",11.2,135.16536,34.134815,"","","",0,0,0,0,"海南市下津町　塩津82-0","","",""
"極楽寺周辺","塩津","","海南市","避難場所","津波　","","","☆☆☆","","","","","",25.6,135.165954,34.132615,"","","",0,0,0,0,"海南市下津町　塩津881-0","","",""
"藤白神社周辺","内海","","海南市","避難場所","津波　","","","☆☆☆","","","","","",17.1,135.209395,34.144325,"","","",0,0,0,0,"海南市藤白466-0","","",""
"日限地蔵周辺","内海","","海南市","避難場所","津波　","","","☆☆☆","","","","","",23.9,135.215978,34.14826,"","","",0,0,0,0,"海南市鳥居284-0","","",""
"柿本神社","日方","","海南市","避難場所","津波　","","","☆☆☆","","","","","",14,135.213403,34.159971,"","","",0,0,0,0,"海南市日方600-0","","",""
