名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
高台（配水池登り口付近）,衣奈,,,※津波一時避難場所,由良町,避難場所,地震　津波,,,☆☆☆,,,,,,18.5,135.1031667 ,33.9909284 ,,,,,,,,由良町大字衣奈,
高台（防災倉庫付近）,戸津井,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆,,有,○,,資機材,11,135.0932650 ,33.9878310 ,,,,,,,,由良町大字戸津井,
高台（バス回転地）,戸津井,,,※津波一時避難場所,由良町,避難場所,地震　津波,,,☆☆☆,,,,,,19.5,135.0945417 ,33.9875084 ,,,,,,,,由良町大字戸津井,
裏山１８－④,戸津井,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,,,,,12.9,135.0930139 ,33.9903875 ,,,,,,,,由良町大字戸津井,
裏山１８－③,戸津井,,,※津波一時避難場所,由良町,避難場所,地震　津波,,,☆☆☆,,,,,,10.6,135.0935695 ,33.9901134 ,,,,,,,,由良町大字戸津井,
裏山１８－②,戸津井,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,,,,,9,135.0941806 ,33.9897744 ,,,,,,,,由良町大字戸津井,
裏山１８－①,戸津井,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,,,,,11.2,135.0944861 ,33.9894231 ,,,,,,,,由良町大字戸津井,
高台（岸の上）,小引,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,,,,,24.8,135.0916111 ,33.9813417 ,,,,,,,,由良町大字小引,
高台（田畑）,小引,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,,,,,10.3,135.0930556 ,33.9827792 ,,,,,,,,由良町大字小引,
高台（別荘広場付近）,小引,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,,,,,13.4,135.0923611 ,33.9835663 ,,,,,,,,由良町大字小引,
高台③,大引,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,,,,,12,135.0880400 ,33.9659140 ,,,,,,,,由良町大字大引,
高台②,大引,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,,,,,15.2,135.0842778 ,33.9708402 ,,,,,,,,由良町大字大引,
高台①,大引,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,,,,,20.8,135.0823195 ,33.9708343 ,,,,,,,,由良町大字大引,
農免道路登り口,大引,,,※津波一時避難場所,由良町,避難場所,地震　津波,,,☆☆☆,,,,,,10.7,135.0891120 ,33.9679020 ,,,,,,,,由良町大字大引,
神谷高台,神谷,,,※津波一時避難場所,由良町,避難場所,地震　津波,,,☆☆☆,,,,,,23.1,135.0832361 ,33.9604260 ,,,,,,,,由良町大字神谷,
神谷高台登り口,神谷,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,,,,,15.4,135.0818472 ,33.9586787 ,,,,,,,,由良町大字神谷,
県道上,神谷,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,,,,,16.8,135.0855972 ,33.9598426 ,,,,,,,,由良町大字神谷,
かみや荘駐車場,神谷,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,,,,,10.1,135.0883472 ,33.9599823 ,,,,,,,,由良町大字神谷,
重山登り口,神谷,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,,,,,18.5,135.0889722 ,33.9596265 ,,,,,,,,由良町大字神谷,
裏山１５－⑤,糸谷,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　津波浸水予測地域,,☆,,,,,,9.5,135.0987361 ,33.9613910 ,,,,,,,,由良町大字吹井,
裏山１５－④（地蔵様付近）,糸谷,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　津波浸水予測地域,,☆,,,,,,8.2,135.0987361 ,33.9613910 ,,,,,,,,由良町大字吹井,
裏山１５－③,糸谷,,,※津波一時避難場所,由良町,避難場所,地震　津波,,,☆☆☆,,,,,,17.7,135.0984028 ,33.9607997 ,,,,,,,,由良町大字吹井,
裏山１５－②（重山登り口付近）,糸谷,,,※津波一時避難場所,由良町,避難場所,地震　津波,,,☆☆☆,,,,,,12.6,135.0988333 ,33.9601629 ,,,,,,,,由良町大字吹井,
裏山１５－①,糸谷,,,※津波一時避難場所,由良町,避難場所,地震　津波,,,☆☆☆,,,,,,14.7,135.0974445 ,33.9597746 ,,,,,,,,由良町大字吹井,
地蔵様付近,吹井,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,,,,,22.5,135.0983195 ,33.9719221 ,,,,,,,,由良町大字吹井,
高台②,吹井,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,,,,,14.8,135.0995417 ,33.9713334 ,,,,,,,,由良町大字吹井,
高台①（ポンプ場付近畑）,吹井,,,※津波一時避難場所,由良町,避難場所,地震　津波,,,☆☆☆,,,,,,14.6,135.0990139 ,33.9666938 ,,,,,,,,由良町大字吹井,
裏山１２－①（奥谷大橋東登り口）,吹井,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,,,,,12.7,135.1016583 ,33.9700947 ,,,,,,,,由良町大字吹井,
町民公園,柳原,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,,,,,16.9,135.1059167 ,33.9696595 ,,,,,,,,由良町大字吹井,
旧ペタンク場,江ノ駒,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆,,,,,,9.3,135.1130556 ,33.9649584 ,,,,,,,,由良町大字江ノ駒,
高台,江ノ駒,,,※津波一時避難場所,由良町,避難場所,地震　津波,,,☆☆☆,,,,,,7.2,135.1153000 ,33.9665000 ,,,,,,,,由良町大字江ノ駒,
農免道路登り口付近,江ノ駒,,,※津波一時避難場所,由良町,避難場所,地震　津波,,,☆☆,,,,,,11.5,135.1162361 ,33.9641611 ,,,,,,,,由良町大字江ノ駒,
裏山６－②,江ノ駒,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,,,,,20.1,135.1087778 ,33.9649734 ,,,,,,,,由良町大字江ノ駒,
裏山６－①,江ノ駒,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆,,,,,,10.8,135.1143195 ,33.9622429 ,,,,,,,,由良町大字江ノ駒,
高台（小由良坂付近）,網代,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆,,有,○,,資機材,8.1,135.1138750 ,33.9614780 ,,,,,,,,由良町大字網代,
裏山５－③（見上山）,網代,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,,,,,16.9,135.1177222 ,33.9621681 ,,,,,,,,由良町大字網代,
裏山５－②（風呂の谷）,網代,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,,,,,13.8,135.1166111 ,33.9622189 ,,,,,,,,由良町大字網代,
裏山５－①（高見山）,網代,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,有,○,,資機材,15.6,135.1134722 ,33.9610758 ,,,,,,,,由良町大字網代,
裏山１－⑤（宇佐八幡神社裏）,横浜,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,,,,,11.3,135.1223611 ,33.9615799 ,,,,,,,,由良町大字里,
裏山１－④,横浜,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,,,,,9.3,135.1213472 ,33.9617357 ,,,,,,,,由良町大字里,
裏山１－③,横浜,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,,,,,16.8,135.1205278 ,33.9621674 ,,,,,,,,由良町大字里,
裏山１－②,横浜,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,,,,,17.4,135.1197778 ,33.9628167 ,,,,,,,,由良町大字里,
裏山１－①（北山）,横浜,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆,,,,,,9.9,135.1187083 ,33.9625570 ,,,,,,,,由良町大字里,
高台（田畑）,阿戸,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆,,,,,,9.9,135.1096000 ,33.9537000 ,,,,,,,,由良町大字阿戸,
高台（教専寺境内）,阿戸,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆,,,,,,9.9,135.1136528 ,33.9543756 ,,,,,,,,由良町大字阿戸,
阿戸消防車庫付近,阿戸,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,有,○,,資機材,15.2,135.1175833 ,33.9558633 ,,,,,,,,由良町大字阿戸,
笠松山４－②,阿戸,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,,,,,12.9,135.1166667 ,33.9571168 ,,,,,,,,由良町大字阿戸,
裏山４－①,阿戸,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆,,,,,,11.6,135.1119028 ,33.9556209 ,,,,,,,,由良町大字阿戸,
裏山３－③,南 阿戸,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆,,,,,,10.2,135.1183889 ,33.9579561 ,,,,,,,,由良町大字阿戸,
裏山３－②,南,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆,,,,,,9.4,135.1186944 ,33.9585220 ,,,,,,,,由良町大字里,
