名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
個人宅の屋上,平松  ,,,RC-2F・屋上　一時避難ビル,すさみ町,避難場所,津波,津波浸水予測地域,,☆,,,,,,4,135.4934930 ,33.5504440 ,,,,,,,,すさみ町周参見,
個人宅の屋上,平松  ,,,RC-2F・屋上　一時避難ビル,すさみ町,避難場所,津波,津波浸水予測地域,,☆,,,,,,4,135.4937300 ,33.5505000 ,,,,,,,,すさみ町周参見,
個人宅の屋上,平松  ,,,S-2F・屋上　一時避難ビル,すさみ町,避難場所,津波,津波浸水予測地域,,☆,,,,,,4,135.4948940 ,33.5516780 ,,,,,,,,すさみ町周参見2321-2,
県営住宅すさみ団地の四階,山崎  ,,,RC-4F・４階　一時避難ビル,すさみ町,避難場所,津波,津波浸水予測地域,,☆☆,耐震　,,,,,4,135.4955780 ,33.5544470 ,,,,,,,,すさみ町周参見2338-2,
すさみ町総合センタ－の屋上,本城  ,,,RC-3F・屋上　一時避難ビル,すさみ町,避難場所,津波,津波浸水予測地域,,☆,耐震　,,,,,3,135.4962170 ,33.5497750 ,,,,,,,,すさみ町周参見4089,
役場庁舎の屋上,本城 堀地 ,,,S-3F・屋上　一時避難ビル,すさみ町,避難場所,津波,津波浸水予測地域,,☆,耐震　,,,,,3,135.4967090 ,33.5500250 ,,,,,,,,すさみ町周参見4089,
津波避難タワー,下地一  下地二,,,,すさみ町,避難場所,津波,津波浸水予測地域,,☆,耐震　,有,○,○,カンパン　水　毛布　簡易トイレ　シート,4,135.4955590 ,33.5474240 ,,,,,,,,すさみ町周参見,
和深川集会所,和深川  ,,,,すさみ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　浸水予測地域　,☆（注）,,耐震　,,,,,84,135.5354466 ,33.5351784 ,,,,,,30,,すさみ町和深川383,
太間川集会センター,太間川  ,,,,すさみ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　浸水予測地域　,☆（注）,,耐震　,,,,,178,135.5089016 ,33.5997449 ,,,,,,20,,すさみ町太間川273-2,
小河内集会センター,小河内  ,,,,すさみ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　浸水予測地域　,☆（注）,,,,,,,261,135.5790200 ,33.5658360 ,,,,,,40,,すさみ町小河内913,
すさみ町総合センター,本城 堀地 下地一 下地二,,,RC-3F・屋上　一時避難ビル,すさみ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　津波,土砂災害予測地域　浸水予測地域　津波浸水予測地域,☆☆☆,☆,耐震　,,,,,3,135.4960481 ,33.5498696 ,,,,,,200,,すさみ町周参見4120-1,
住民福祉会館,田中 石橋 本城,,,,すさみ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,浸水予測地域　津波浸水予測地域,☆☆,,,有,○,,毛布　（２階）,3,135.4979168 ,33.5522515 ,,,,,,60,,すさみ町周参見3871-3,
防地生活改善センター,防地  ,,,,すさみ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,浸水予測地域　津波浸水予測地域,☆（注）,,,,,,,7,135.5008661 ,33.5579080 ,,,,,,30,,すさみ町周参見3552,
農林漁業者等健康増進施設,神田  立野  大関地,,,,すさみ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,,☆☆☆,,耐震　,,,,,11,135.5021492 ,33.5586985 ,,,,,,200,,すさみ町周参見3502-1,
神田愛育文化センター,神田  ,,,,すさみ町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,,有,○,,毛布,8,135.5033467 ,33.5584415 ,,,,,,30,,すさみ町周参見3502-6,
町歴史民族資料館,山崎  ,,,,すさみ町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　津波浸水予測地域,☆,,,,,,,4,135.4944732 ,33.5527658 ,,,,,,15,,すさみ町周参見2290,
漁村センター,平松  小泊 ,,,RC-3F・屋上　一時避難ビル,すさみ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,津波浸水予測地域,☆☆☆,☆,耐震　,,,,,3,135.4924118 ,33.5493336 ,,,,,,60,,すさみ町周参見2050-28,
堀切生活改善センター,堀切  ,,,,すさみ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,津波浸水予測地域,☆（注）,,,,,,,8,135.4944889 ,33.5578532 ,,,,,,30,,すさみ町周参見1682-1,
公民館佐本分館,佐本  ,,,,すさみ町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　,☆,,,有,○,○,アルファ化米等　毛布,160,135.6246700 ,33.5892255 ,,,,,,50,,すさみ町佐本中228-2,
江須之川生活改善センター,江須之川  ,,,,すさみ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,津波浸水予測地域,☆（注）,,,,,,,6,135.5908675 ,33.5076798 ,,,,,,40,,すさみ町江住240,
