"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"ひまわり園","","","紀の川市","福祉避難所","崖崩れ・土石流及び地滑り　高潮　地震　津波　","浸水予測地域　","","","耐震　","","","","",26,135.332697,34.2428032,"","","",0,0,0,5,"紀の川市桃山町　調月58-3","","",""
"特別養護老人ホーム　ももの里","","","紀の川市","福祉避難所","洪水　高潮　内水氾濫　地震　津波　","土砂災害予測地域　","","","耐震　","","","","",90,135.350476,34.2197676,"","","",0,0,0,90,"紀の川市桃山町　最上1254-1","","",""
"特別養護老人ホーム　高陽園","","","紀の川市","福祉避難所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　","","","","耐震　","","","","",42,135.380665,34.2631966,"○","○","○",0,0,0,5,"紀の川市上田井1020-0","","",""
"特別養護老人ホーム　貴志川聖アンナの家","","","紀の川市","福祉避難所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　","","","","耐震　","","","","",37,135.309845,34.2158537,"","","",0,0,0,1,"紀の川市貴志川町　上野山302-1","知的障害・発達障害対応可","",""
"特別養護老人ホーム　栄寿苑","","","紀の川市","福祉避難所","洪水　高潮　内水氾濫　地震　津波　","土砂災害予測地域　","","","耐震　","","","","",84,135.45065,34.2750379,"○","","○",0,0,0,5,"紀の川市麻生津中1279-0","","",""
"特別養護老人ホーム　打田皆楽園","","","紀の川市","福祉避難所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　","","","","耐震　","","","","",53,135.347226,34.2644623,"○","○","",0,0,0,7,"紀の川市畑野上259-0","","",""
"知的障害者入所更生施設ＰＵＲＥ皆楽","","","紀の川市","福祉避難所","崖崩れ・土石流及び地滑り　高潮　地震　津波　","浸水予測地域　","","","耐震　","","","","",35,135.373616,34.252531,"","","",0,0,0,10,"紀の川市竹房314-0","知的障害・発達障害対応可","",""
"生活介護事業所三幸園","","","紀の川市","福祉避難所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　","","","","耐震　","有","○","○","",110,135.414376,34.2832086,"","","",0,0,0,10,"紀の川市粉河4168-0","知的障害・発達障害対応可","",""
"グループホーム桃の庵","","","紀の川市","福祉避難所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　","","","","耐震　","","","","",53,135.350148,34.2213119,"","","",0,0,0,10,"紀の川市桃山町　最上843-1","","",""
"グループホーム自然の郷","","","紀の川市","福祉避難所","洪水　高潮　内水氾濫　地震　津波　","土砂災害予測地域　","","","耐震　","","","","",87,135.352348,34.219524,"","","",0,0,0,10,"紀の川市桃山町　最上1206-7","","",""
